id,category,sub_category,brand,model,power,price,compatibility,ESD,link,image
42,tools,station,SUGON,T21,120w,$70-130,8,OK,https://s.click.aliexpress.com/e/_c4FgRB75,https://ae-pic-a1.aliexpress-media.com/kf/S6d91272ec6d746f49652ce74dbad5818O.jpg
43,tools,station,AIXUN,T3A,200W,$90-160,9,carefull,https://s.click.aliexpress.com/e/_c3wNHYPv,https://ae-pic-a1.aliexpress-media.com/kf/S8e9c96157bc24e63be372066b31eb990S.jpg
44,tools,station,AIXUN,T3B,200W,$90-160,7,carefull,https://s.click.aliexpress.com/e/_c3wNHYPv,https://ae-pic-a1.aliexpress-media.com/kf/S5487524a53164b93823a2247a8e0a4d9z.png
45,tools,handles,AIXUN,T3A,,$15-35,1.1,OK,https://s.click.aliexpress.com/e/_c2wc3b5Z,https://ae-pic-a1.aliexpress-media.com/kf/Se0cb653e7e4046338dbaf70b4ac9d7605.jpg
46,tools,handles,AIXUN,T3B,,$15-35,1.5,OK,https://s.click.aliexpress.com/e/_c2wc3b5Z,https://ae-pic-a1.aliexpress-media.com/kf/Sc027420214e24477b919b59546fdf675B.jpg
47,tools,handles,AIXUN,T3B,,$15-35,1.4,OK,https://s.click.aliexpress.com/e/_c2wc3b5Z,https://ae-pic-a1.aliexpress-media.com/kf/Sc027420214e24477b919b59546fdf675B.jpg
48,tools,station,AIXUN,T420D,200W,$90-160,8,carefull,https://s.click.aliexpress.com/e/_c3UynA4L,https://ae-pic-a1.aliexpress-media.com/kf/S6fd1abb128a042fd9bacfe82c865d241A.jpg
49,tools,station,OSS,T12,130W,$35-65,1.2,OK,https://s.click.aliexpress.com/e/_c323AagF,https://ae-pic-a1.aliexpress-media.com/kf/S1de9bc009afc43c9a4e0b03004823e13P.jpg
50,tools,station,OSS,T245,130W,$35-65,1.1,OK,https://s.click.aliexpress.com/e/_c4CGqHBN,https://ae-pic-a1.aliexpress-media.com/kf/S66fd071a13f94c359eed0438465bce21q.jpg
51,tools,station,OSS,T210,130W,$35-65,1.4,OK,https://s.click.aliexpress.com/e/_c3QHBoRt,https://ae-pic-a1.aliexpress-media.com/kf/S66fd071a13f94c359eed0438465bce21q.jpg
52,tools,station,OSS,T115,130W,$35-65,1.5,OK,https://s.click.aliexpress.com/e/_c3QHBoRt,https://ae-pic-a1.aliexpress-media.com/kf/S66fd071a13f94c359eed0438465bce21q.jpg
53,tools,hotair,FNIRSI,SAG-55,550W,$35-70,,OK,https://s.click.aliexpress.com/e/_c2JcaBfd,https://ae-pic-a1.aliexpress-media.com/kf/Sbb84184324cb46cab2d48040cd0d43999.png
