id,brand,model,sub_category,link,image
44,AIXUN,T3B,station,https://s.click.aliexpress.com/e/_c3wNHYPv,images/products/44.png
45,AIXUN,T3A,handles,https://s.click.aliexpress.com/e/_c2wc3b5Z,images/products/45.jpg
46,AIXUN,T3B,handles,https://s.click.aliexpress.com/e/_c2wc3b5Z,images/products/46.jpg
47,AIXUN,T3B,handles,https://s.click.aliexpress.com/e/_c2wc3b5Z,images/products/47.jpg
48,AIXUN,T420D,station,https://s.click.aliexpress.com/e/_c3UynA4L,images/products/48.jpg
49,OSS,T12,station,https://s.click.aliexpress.com/e/_c323AagF,images/products/49.jpg
50,OSS,T245,station,https://s.click.aliexpress.com/e/_c4CGqHBN,images/products/50.jpg
51,OSS,T210,station,https://s.click.aliexpress.com/e/_c3QHBoRt,images/products/51.jpg
52,OSS,T115,station,https://s.click.aliexpress.com/e/_c3QHBoRt,images/products/52.jpg
53,FNIRSI,SAG-55,hotair,https://s.click.aliexpress.com/e/_c2JcaBfd,images/products/53.png
54,AIFEN,868D,hotair,https://s.click.aliexpress.com/e/_c4bjRl2T,images/products/54.jpg
55,LUOWEI,HG-01,hotair,https://s.click.aliexpress.com/e/_c3safEs3,images/products/55.jpg
56,SUGON,2020D,hotair,https://s.click.aliexpress.com/e/_c3KWbJ35,images/products/56.jpg
57,RF4,RF-H2,hotair,https://s.click.aliexpress.com/e/_c41Punuf,images/products/57.jpg
58,QUICK,2008 PRO,hotair,https://s.click.aliexpress.com/e/_c44oS9Gf,images/products/58.jpg
59,FORWARD,FW-HA01,hotair,https://s.click.aliexpress.com/e/_c3oX36mX,images/products/59.jpg
60,YCS,NO.1,hotair,https://s.click.aliexpress.com/e/_c4ptRgLt,images/products/60.jpg
61,MECHANIC,AIRNOVA,hotair,https://s.click.aliexpress.com/e/_c35IqzxN,images/products/61.jpg
62,ATTEN,ST-862D,hotair,https://s.click.aliexpress.com/e/_c3qdrHyr,images/products/62.jpg
63,SUGON,8610DX-PRO,hotair,https://s.click.aliexpress.com/e/_c4ctstL9,images/products/63.jpg
64,QUICK,861DW,hotair,https://s.click.aliexpress.com/e/_c3LiIvmj,images/products/64.jpg
65,AIFEN,F5PRO,hotair,https://s.click.aliexpress.com/e/_c45u11rN,images/products/65.jpg
66,Aixun,H310D,hotair,https://s.click.aliexpress.com/e/_c3tSWdpZ,images/products/66.jpg
67,YCS,R1 Pro,hotair,https://s.click.aliexpress.com/e/_c4X1CZwx,images/products/67.jpg
68,Aixun,H312,hotair,https://s.click.aliexpress.com/e/_c3D2rUvd,images/products/68.jpg
69,SUGON,8620DX PRO,hotair,https://s.click.aliexpress.com/e/_c3881eLh,images/products/69.jpg
70,SUGON,8650Pro,hotair,https://s.click.aliexpress.com/e/_c30acTNv,images/products/70.jpg
71,QUICK,861 Pro,hotair,https://s.click.aliexpress.com/e/_c3lAlY7Z,images/products/71.jpg
72,YCS,R1 Ultra,hotair,https://s.click.aliexpress.com/e/_c3Z5jrFl,images/products/72.jpg
73,Aixun,H314,hotair,https://s.click.aliexpress.com/e/_c37wizAb,images/products/73.jpg
74,AiXun,H414D,hotair,https://s.click.aliexpress.com/e/_c3sFAGW,images/products/74.jpg
75,JBC,C245,tips,https://s.click.aliexpress.com/e/_c3vtdVrd,images/products/75.jpg
